id_usuario,nome_completo,username,password,role
1,Bianca Moura,admin1,admin,Administração
2,Bruna Garcia,admin2,admin,Administração
3,Davi Miguel Ribeiro,admin3,admin,Administração
4,Brenda Carvalho,admin4,admin,Administração
5,Hellena Moreira,admin5,admin,Administração
6,Rebeca da Cunha,coord6,coord,Coordenação
7,Lavínia Cavalcante,coord7,coord,Coordenação
8,Thales Camargo,coord8,coord,Coordenação
9,Sr. Davi Luiz Garcia,coord9,coord,Coordenação
10,Bella Monteiro,coord10,coord,Coordenação
11,Dr. Luiz Fernando Nascimento,coord11,coord,Coordenação
12,Sr. Kaique da Rocha,coord12,coord,Coordenação
13,Dr. Caio Rocha,coord13,coord,Coordenação
14,Marcos Vinicius da Conceição,coord14,coord,Coordenação
15,Dr. Yuri Nunes,coord15,coord,Coordenação
16,Dra. Vitória Aparecida,coord16,coord,Coordenação
17,Laís Lopes,coord17,coord,Coordenação
18,Ravi Brito,coord18,coord,Coordenação
19,Julia Martins,coord19,coord,Coordenação
20,Bianca Azevedo,coord20,coord,Coordenação
21,Henry Gabriel Rios,coord21,coord,Coordenação
22,Sr. Enzo Gomes,coord22,coord,Coordenação
23,Giovanna Sampaio,coord23,coord,Coordenação
24,Rael Mendes,coord24,coord,Coordenação
25,Mariah Peixoto,coord25,coord,Coordenação
26,Maria Julia da Costa,maria.costa,123,Professor
27,André da Rocha,andré.rocha,123,Professor
28,Fernanda Vasconcelos,fernanda.vasconcelos,123,Professor
29,Sr. Lorenzo da Costa,sr..costa,123,Professor
30,Dr. Anthony Farias,dr..farias,123,Professor
31,Julia Silva,julia.silva,123,Professor
32,Ravi Lucca Carvalho,ravi.carvalho,123,Professor
33,Olívia Leão,olívia.leão,123,Professor
34,Sra. Sophie Casa Grande,sra..grande,123,Professor
35,Danilo Dias,danilo.dias,123,Professor
36,Nicolas Pires,nicolas.pires,123,Professor
37,Sr. Vitor Gabriel Vargas,sr..vargas,123,Professor
38,Leandro Martins,leandro.martins,123,Professor
39,Carlos Eduardo Freitas,carlos.freitas,123,Professor
40,Léo Montenegro,léo.montenegro,123,Professor
41,Henry Gabriel Oliveira,henry.oliveira,123,Professor
42,Ana Lívia Sousa,ana.sousa,123,Professor
43,Guilherme Machado,guilherme.machado,123,Professor
44,Aylla Costela,aylla.costela,123,Professor
45,Brayan Ramos,brayan.ramos,123,Professor
46,Brenda Moreira,brenda.moreira,123,Professor
47,Sr. Asafe da Rosa,sr..rosa,123,Professor
48,Cecilia Lopes,cecilia.lopes,123,Professor
49,Ágatha Vasconcelos,ágatha.vasconcelos,123,Professor
50,Benjamim Rezende,benjamim.rezende,123,Professor
51,Sra. Melissa Cunha,sra..cunha,123,Professor
52,Giovanna Oliveira,giovanna.oliveira,123,Professor
53,Antônio da Costa,antônio.costa,123,Professor
54,Mateus Casa Grande,mateus.grande,123,Professor
55,Ana Júlia Marques,ana.marques,123,Professor
56,Vinícius Teixeira,vinícius.teixeira,123,Professor
57,João Felipe Câmara,joão.câmara,123,Professor
58,Sophie Garcia,sophie.garcia,123,Professor
59,Bella Souza,bella.souza,123,Professor
60,Dra. Sara Azevedo,dra..azevedo,123,Professor
61,Júlia Teixeira,júlia.teixeira,123,Professor
62,Levi Sampaio,levi.sampaio,123,Professor
63,Lorenzo Nascimento,lorenzo.nascimento,123,Professor
64,Mathias Pacheco,mathias.pacheco,123,Professor
65,Ravi Lucca Mendes,ravi.mendes,123,Professor
66,Calebe Silveira,calebe.silveira,123,Professor
67,Henry Gabriel Alves,henry.alves,123,Professor
68,Fernando Pires,fernando.pires,123,Professor
69,Bento Albuquerque,bento.albuquerque,123,Professor
70,Vitor Cassiano,vitor.cassiano,123,Professor
71,Levi Aparecida,levi.aparecida,123,Professor
72,Alexandre Lopes,alexandre.lopes,123,Professor
73,Joana da Rosa,joana.rosa,123,Professor
74,Benjamin Caldeira,benjamin.caldeira,123,Professor
75,Sr. Lucca Rocha,sr..rocha,123,Professor
76,Yan das Neves,yan.neves,123,Professor
77,Vitor Moreira,vitor.moreira,123,Professor
78,João Lucas Machado,joão.machado,123,Professor
79,Danilo Pereira,danilo.pereira,123,Professor
80,Dr. Diogo Cirino,dr..cirino,123,Professor
81,Ester Borges,ester.borges,123,Professor
82,João Guilherme Rios,joão.rios,123,Professor
83,Dra. Ana Liz Novais,dra..novais,123,Professor
84,Allana Peixoto,allana.peixoto,123,Professor
85,Aylla Gomes,aylla.gomes,123,Professor
86,Luiz Gustavo Farias,luiz.farias,123,Professor
87,Ana Beatriz Montenegro,ana.montenegro,123,Professor
88,Brayan Moreira,brayan.moreira,123,Professor
89,Marcela Aragão,marcela.aragão,123,Professor
90,Sabrina Moura,sabrina.moura,123,Professor
91,Lucca Alves,lucca.alves,123,Professor
92,Isadora Peixoto,isadora.peixoto,123,Professor
93,José Pedro Albuquerque,josé.albuquerque,123,Professor
94,Dra. Larissa Souza,dra..souza,123,Professor
95,Luiz Otávio Correia,luiz.correia,123,Professor
96,Ian Brito,ian.brito,123,Professor
97,Lorena da Rocha,lorena.rocha,123,Professor
98,Aurora Cirino,aurora.cirino,123,Professor
99,José Pedro da Rosa,josé.rosa,123,Professor
100,Antony Abreu,antony.abreu,123,Professor
101,Srta. Marcela Ribeiro,srta..ribeiro,123,Professor
102,Joana Ribeiro,joana.ribeiro,123,Professor
103,Sr. Ravi Lucca Lopes,sr..lopes,123,Professor
104,Isaque Siqueira,isaque.siqueira,123,Professor
105,Allana Pastor,allana.pastor,123,Professor
106,Sr. José Pedro Campos,sr..campos,123,Professor
107,Maria Laura Garcia,maria.garcia,123,Professor
108,Thiago Aparecida,thiago.aparecida,123,Professor
109,Eduardo da Mata,eduardo.mata,123,Professor
110,Ana Clara da Luz,ana.luz,123,Professor
111,Caleb Vieira,caleb.vieira,123,Professor
